parcelas;transecto;owner;institution
MUCAJA_PQ18;prox voo Lidar T_641;Aragao;INPE
MUCAJA_PQ17;prox voo Lidar T_641;Aragao;INPE
MUCAJA_PQ38;T_421;Aragao;INPE
MUCAJA_PQ37;T_421;Aragao;INPE
MUCAJA_PQ15;prox voo Lidar T_641;Aragao;INPE
MUCAJA_PQ16;prox voo Lidar T_641;Aragao;INPE
MUCAJA_PQ07;T_419;Aragao;INPE
MUCAJA_PQ08;T_419;Aragao;INPE
MUCAJA_PC05;T_419;Aragao;INPE
MUCAJA_PC06;T_419;Aragao;INPE
PA_165_02PQ;T_423;Aragao;INPE
PA_125_10PQ;T_424;Aragao;INPE
PA_363_01PQ;T_425;Aragao;INPE
AC_BOL_PQ06;T_414;Aragao;INPE
AC_BOL_PQ04;T_414;Aragao;INPE
AC_BOL_PP01;T_414;Aragao;INPE
AC_BOL_PP02;T_414;Aragao;INPE
AC_BOL_PP03;T_414;Aragao;INPE
AC_RCM_PP06;T_415;Aragao;INPE
AC_RCM_PP05;T_415;Aragao;INPE
TALISMA_PQ8;T_415;Aragao;INPE
TALISMA_PQ7;T_415;Aragao;INPE
ALI_AM_PQ05;T_638;Aragao;INPE
ALI_AM_PQ06;T_638;Aragao;INPE
ALI_AM_PQ07;T_638;Aragao;INPE
ALI_AM_PP04;T_638;Aragao;INPE
ALI_AM_PP05;T_638;Aragao;INPE
ALI_AM_PP06;T_638;Aragao;INPE
ALI_AM_PP03;T_639;Aragao;INPE
ALI_AM_PP02;T_639;Aragao;INPE
ALI_AM_PP01;T_639;Aragao;INPE
ALI_AM_PQ11;T_639;Aragao;INPE
ALI_AM_PQ10;T_639;Aragao;INPE
ALI_AM_PQ01;T_639;Aragao;INPE
ALFLOR_PC.shp;T_645;Trees;INPE
ALFLOR_PQ.shp;T_645;Trees;INPE
BIO_BL1T4.shp;T_400;Niro;INPA
BIO_BL2T0.shp;T_402;Niro;INPA
BIO_BL2T1.shp;T_401;Niro;INPA
BIO_BL2T2.shp;T_402;Niro;INPA
BIO_BL2T3.shp;T_400;Niro;INPA
BIO_BL2T4.shp;T_400;Niro;INPA
BIO_BL2T5.shp;T_401;Niro;INPA
BIO_BL4T0.shp;T_402;Niro;INPA
BIO_BL4T1.shp;T_403;Niro;INPA
BIO_BL4T2.shp;T_403;Niro;INPA
BIO_BL4T3.shp;T_403;Niro;INPA
BLW_PAR07.shp;T_396;Niro;INPA
BLW_PAR08.shp;T_396;Niro;INPA
BLW_PAR09.shp;T_396;Niro;INPA
HUMAI_PC1.shp;T_413;Trees;INPE
HUMAI_PQ1.shp;T_413;Trees;INPE
JARAU_P06.shp;T_1013;Mariana e Tamara;Instituto Mamiraua
JARAU_P07.shp;T_1013;Mariana e Tamara;Instituto Mamiraua
JARAU_P08.shp;T_1013;Mariana e Tamara;Instituto Mamiraua
JARAU_P09.shp;T_1013;Mariana e Tamara;Instituto Mamiraua
JARAU_P10.shp;T_1014;Mariana e Tamara;Instituto Mamiraua
JARAU_P11.shp;T_1014;Mariana e Tamara;Instituto Mamiraua
MVEMB_P12.shp;T_0374;Marcus Vinicio;Embrapa Acre
MVEMB_P15.shp;T_0374;Marcus Vinicio;Embrapa Acre
MVEMB_P17.shp;T_0374;Marcus Vinicio;Embrapa Acre
MVEMB_P20.shp;T_0374;Marcus Vinicio;Embrapa Acre
MVEMB_P21.shp;T_0374;Marcus Vinicio;Embrapa Acre
MVEMB_P22.shp;T_0374;Marcus Vinicio;Embrapa Acre
MVEMB_P24.shp;T_0374;Marcus Vinicio;Embrapa Acre
MVEMB_P25.shp;T_0374;Marcus Vinicio;Embrapa Acre
MVEMB_P27.shp;T_0374;Marcus Vinicio;Embrapa Acre
MVEMB_P30.shp;T_0374;Marcus Vinicio;Embrapa Acre
HUMAI_PC1;T_413;Aragao;INPE
HUMAI_PQ1;T_413;Aragao;INPE
