Parcela;Obs_parcela;N;Nome_comum;DAP;Altura;Altura_medida_estimada;Morta;Tipo;Ano;;;;;;;;;;;
TNS_001a006;NA;127;ARACA BRAVO;19,4;16,8;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;128;ANGELIM RAJADO;39,7;26,0;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;129;MACARANDUBA;12,5;12,5;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;130;PITOMBA DA MATA;16,0;14,8;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;131;MUCURAO;26,0;20,3;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;132;PAJURAZINHO;14,7;14,0;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;133;ABIURANA FEDORENTA;31,4;22,7;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;133D;PAU SANDRA;11,0;11,4;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;134;MOELA DE MUTU;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;135;TAUARI;NA;NA;EST;M;NA;2015;;;;;;;;;;;
TNS_001a006;NA;135B;TACHI PRETO;10,5;11,0;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;136;LOURO PIRARUCU;48,8;28,9;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;136F;ARABÁ ROXO;10,5;11,0;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;136I;BREU MANGA;10,8;11,2;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;137;MATAMATA AMARELO;20,7;17,6;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;138;LOURO FOFO;31,4;22,7;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;139;TINTEIRA;18,7;16,4;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;140;BREU VERMELHO;16,5;15,1;EST;NA;NA;2015;;;;;;;;;;;
TNS_001a006;NA;141;MACUCU;NA;NA;EST;M;NA;2015;;;;;;;;;;;
