common_name;species;genus;family
ABIURANA CUTITE FL;Sapotaceae spp ;Sapotaceae ;Sapotaceae
UCHIRANA;Humiriaceae spp ;Humiriaceae ;Humiriaceae
RIPEIRO BRANCO;Eschweilera spp ;Eschweilera ;Lecythidaceae
ANANI;Symphonia globulifera;Symphonia ;Clusiaceae
ARABA ROXO;Swartzia reticulata;Swartzia ;Fabaceae
MAUEIRA;Erisma bicolor;Erisma ;Vochysiaceae
PAPO DE MUTUM;Quiinaceae spp ;Quiinaceae ;Quiinaceae
BREU VERMELHO;Protium hebetatum;Protium ;Burseraceae
INGA VERMELHA;Inga spp ;Inga ;Fabaceae
ENVIRA PRETA;Fusaea longifolia;Fusaea ;Annonaceae
UCUQUIRANA VERDADEIRA;Chrysophyllum spp ;Chrysophyllum ;Sapotaceae
