_id;common_name;family;genus;species;suggestion
"miconia gratissima;melastomataceae;miconia;buxuxu canela velho";buxuxu canela velho;melastomataceae;miconia;miconia gratissima;miconia prasina
"miconia gratissima;melastomataceae;miconia;tinteira";tinteira;melastomataceae;miconia;miconia gratissima;miconia prasina
"miconia hypoleuca;melastomataceae;miconia;buchuchu folha serrilhada";buchuchu folha serrilhada;melastomataceae;miconia;miconia hypoleuca;licania hypoleuca
"miconia minutiflora;melastomataceae;miconia;dima";dima;melastomataceae;miconia;miconia minutiflora;licania minutiflora
"miconia minutiflora;melastomataceae;miconia;tinteira";tinteira;melastomataceae;miconia;miconia minutiflora;licania minutiflora
"miconia minutiflora;melastomataceae;miconia;tinteiro";tinteiro;melastomataceae;miconia;miconia minutiflora;licania minutiflora
"miconia phanerostila;melastomataceae;miconia;buchuchu canela velho";buchuchu canela velho;melastomataceae;miconia;miconia phanerostila;miconia prasina
"miconia phanerostila;melastomataceae;miconia;buchuchu folha serrilhada";buchuchu folha serrilhada;melastomataceae;miconia;miconia phanerostila;miconia prasina
"miconia phanerostila;melastomataceae;miconia;buchuchu orelha burro";buchuchu orelha burro;melastomataceae;miconia;miconia phanerostila;miconia prasina
"miconia pyrifolia;melastomataceae;miconia;buchuchu folha serrilhada";buchuchu folha serrilhada;melastomataceae;miconia;miconia pyrifolia;myrcia pyrifolia
"miconia pyrifolia;melastomataceae;miconia;tinteira";tinteira;melastomataceae;miconia;miconia pyrifolia;myrcia pyrifolia
"miconia rubiginosa;melastomataceae;miconia;buchuchu";buchuchu;melastomataceae;miconia;miconia rubiginosa;inga rubiginosa
"miconia spp;melastomataceae;miconia;buchuchu";buchuchu;melastomataceae;miconia;miconia spp;
"miconia spp;melastomataceae;miconia;buchuchu canela velho";buchuchu canela velho;melastomataceae;miconia;miconia spp;
"miconia spp;melastomataceae;miconia;buchuchu fl serrilhada";buchuchu fl serrilhada;melastomataceae;miconia;miconia spp;
"miconia spp;melastomataceae;miconia;buchuchu folha serrilha";buchuchu folha serrilha;melastomataceae;miconia;miconia spp;
"miconia spp;melastomataceae;miconia;buchuchu folha serrilhada";buchuchu folha serrilhada;melastomataceae;miconia;miconia spp;
"miconia spp;melastomataceae;miconia;buchuchu orelha burro";buchuchu orelha burro;melastomataceae;miconia;miconia spp;
"miconia spp;melastomataceae;miconia;buxuxu folha serrilhada";buxuxu folha serrilhada;melastomataceae;miconia;miconia spp;
"miconia spp;melastomataceae;miconia;purui";purui;melastomataceae;miconia;miconia spp;
"micrandropsis scleroxylon;euphorbiaceae;micrandropsis;piaozinho";piaozinho;euphorbiaceae;micrandropsis;micrandropsis scleroxylon;micrandra scleroxylon
"micropholis spp;sapotaceae;micropholis;chiclete bravo";chiclete bravo;sapotaceae;micropholis;micropholis spp;micropholis egensis
"mollia cf lepidota;malvaceae;mollia;cardeiro";cardeiro;malvaceae;mollia;mollia cf lepidota;mollia lepidota
"mollia cf lepidota;malvaceae;mollia;castanha porco";castanha porco;malvaceae;mollia;mollia cf lepidota;mollia lepidota
"mollia cf lepidota;malvaceae;mollia;inga verm";inga verm;malvaceae;mollia;mollia cf lepidota;mollia lepidota
"mollia cf lepidota;malvaceae;mollia;inga vermelha";inga vermelha;malvaceae;mollia;mollia cf lepidota;mollia lepidota
"mollia cf lepidota;malvaceae;mollia;muirajiboia jerimum";muirajiboia jerimum;malvaceae;mollia;mollia cf lepidota;mollia lepidota
"mollia cf lepidota;malvaceae;mollia;pau pombo";pau pombo;malvaceae;mollia;mollia cf lepidota;mollia lepidota
"mollia cf lepidota;malvaceae;mollia;supiarana";supiarana;malvaceae;mollia;mollia cf lepidota;mollia lepidota
"mollia cf lepidota;malvaceae;mollia;ucuuba vermelha";ucuuba vermelha;malvaceae;mollia;mollia cf lepidota;mollia lepidota
"moraceae spp;moraceae;moraceae;inhare";inhare;moraceae;moraceae;moraceae spp;
"moraceae spp;moraceae;moraceae;muiratinga";muiratinga;moraceae;moraceae;moraceae spp;
"mouriri duckeana/duckeanoides;melastomataceae;mouriri;muirauba";muirauba;melastomataceae;mouriri;mouriri duckeana/duckeanoides;
"myrcia rufipila;myrtaceae;myrcia;goiabinha";goiabinha;myrtaceae;myrcia;myrcia rufipila;myrcia fallax
"myrcia servata;myrtaceae;myrcia;goiabinha";goiabinha;myrtaceae;myrcia;myrcia servata;myrcia rostrata
"myrcia spp;myrtaceae;myrcia;goiabinha";goiabinha;myrtaceae;myrcia;myrcia spp;
"myrcia subsericea;myrtaceae;myrcia;azeitona mata";azeitona mata;myrtaceae;myrcia;myrcia subsericea;myrica rubra
"myrcia subsericea;myrtaceae;myrcia;muirajiboia";muirajiboia;myrtaceae;myrcia;myrcia subsericea;myrica rubra
"myristicaceae spp;myristicaceae;myristicaceae;goiaba anta";goiaba anta;myristicaceae;myristicaceae;myristicaceae spp;myristica crassa
"myristicaceae spp;myristicaceae;myristicaceae;ucuuba";ucuuba;myristicaceae;myristicaceae;myristicaceae spp;myristica crassa
"myristicaceae spp;myristicaceae;myristicaceae;ucuuba verdadeira";ucuuba verdadeira;myristicaceae;myristicaceae;myristicaceae spp;myristica crassa
"myrtaceae sp 1;myrtaceae;myrtaceae;araca bravo";araca bravo;myrtaceae;myrtaceae;myrtaceae sp 1;
"myrtaceae sp 2;myrtaceae;myrtaceae;araca bravo";araca bravo;myrtaceae;myrtaceae;myrtaceae sp 2;
"myrtaceae sp 4;myrtaceae;myrtaceae;araca bravo";araca bravo;myrtaceae;myrtaceae;myrtaceae sp 4;
"myrtaceae spp;myrtaceae;myrtaceae;araca bravo";araca bravo;myrtaceae;myrtaceae;myrtaceae spp;
"myrtaceae spp;myrtaceae;myrtaceae;matamata amarelo";matamata amarelo;myrtaceae;myrtaceae;myrtaceae spp;
"myrtaceae spp;myrtaceae;myrtaceae;murta mata";murta mata;myrtaceae;myrtaceae;myrtaceae spp;
"naucleopsis caloneura;moraceae;naucleopsis;muiratinga";muiratinga;moraceae;naucleopsis;naucleopsis caloneura;naucleopsis concinna
"neea cf verticillata;nyctaginaceae;neea;joao mole";joao mole;nyctaginaceae;neea;neea cf verticillata;banksia verticillata
"neea spp;nyctaginaceae;neea;joao mole";joao mole;nyctaginaceae;neea;neea spp;
"nyctaginaceae sp 1;nyctaginaceae;nyctaginaceae;joao mole";joao mole;nyctaginaceae;nyctaginaceae;nyctaginaceae sp 1;
"ocotea boissieriana;lauraceae;ocotea;louro fofo";louro fofo;lauraceae;ocotea;ocotea boissieriana;ocotea spixiana
"ocotea cinerea;lauraceae;ocotea;louro preto";louro preto;lauraceae;ocotea;ocotea cinerea;ocotea cernua
"ocotea cujumary;lauraceae;ocotea;louro branco";louro branco;lauraceae;ocotea;ocotea cujumary;ocotea cernua
"ocotea cujumary;lauraceae;ocotea;louro fofo";louro fofo;lauraceae;ocotea;ocotea cujumary;ocotea cernua
"ocotea cujumary;lauraceae;ocotea;louro preto";louro preto;lauraceae;ocotea;ocotea cujumary;ocotea cernua
"ocotea longifolia;lauraceae;ocotea;louro preto";louro preto;lauraceae;ocotea;ocotea longifolia;hortia longifolia
"ocotea nigrescens;lauraceae;ocotea;louro fofo";louro fofo;lauraceae;ocotea;ocotea nigrescens;ocotea nigra
"ocotea subterminalis;lauraceae;ocotea;louro";louro;lauraceae;ocotea;ocotea subterminalis;corymbia terminalis
"ocotea subterminalis;lauraceae;ocotea;louro fofo";louro fofo;lauraceae;ocotea;ocotea subterminalis;corymbia terminalis
"ocotea subterminalis;lauraceae;ocotea;louro preto";louro preto;lauraceae;ocotea;ocotea subterminalis;corymbia terminalis
"ocotea subterminalis;lauraceae;ocotea;ucuuba";ucuuba;lauraceae;ocotea;ocotea subterminalis;corymbia terminalis
"ormosia grossa;fabaceae;ormosia;tento";tento;fabaceae;ormosia;ormosia grossa;ormosia arborea
"ormosia sp;fabaceae;ormosia;coracao negro";coracao negro;fabaceae;ormosia;ormosia sp;
"ormosia spp;fabaceae;ormosia;tento";tento;fabaceae;ormosia;ormosia spp;
"ormosia spp;fabaceae;ormosia;tento vermelho";tento vermelho;fabaceae;ormosia;ormosia spp;
"ouratea sp;ochnaceae;ouratea;uxi morcego";uxi morcego;ochnaceae;ouratea;ouratea sp;
"parinari parvifolia;chrysobalanaceae;parinari;pajurazinho";pajurazinho;chrysobalanaceae;parinari;parinari parvifolia;garcinia parvifolia
"parkia panurensis;fabaceae;parkia;fava vermelha";fava vermelha;fabaceae;parkia;parkia panurensis;parkia paraensis
"parkia panurensis;fabaceae;parkia;ingarana";ingarana;fabaceae;parkia;parkia panurensis;parkia paraensis
